ds,product,units,amount
2024-01-01,Bottled Water 5L,45,11265.89
2024-01-01,Butter 227G,47,56748.5
2024-01-01,Chocolate Wafers 85G,46,4565.99
2024-01-01,Coca-Cola 1.5L,43,13078.6
2024-01-01,Coconut,56,7370.76
2024-01-01,Coconut Oil 750ML,49,42145.34
2024-01-01,Coconut Sweets,43,8714.87
2024-01-01,Fresh Chicken 1KG,43,60572.77
2024-01-01,Fresh Milk 1L,42,16767.22
2024-01-01,Ice Cream 1L,45,34209.44
2024-01-01,Mango Jam 500G,40,25785.58
2024-01-01,Milo Powder 400G,43,43353.72
2024-01-01,Pineapple Whole,49,19210.7
2024-01-01,Plain Bread 450G,53,9705.81
2024-01-01,Plain Flour 1KG,54,20385.95
2024-01-01,Salt 1KG,48,4729.75
2024-01-01,Toilet Paper 2PLY,51,5019.88
2024-01-01,Tomatoes 1KG,49,19490.22
2024-01-01,White Rice 1KG,56,12447.29
2024-01-01,White Sugar 1KG,41,14292.09
2024-01-02,Bottled Water 5L,48,12005.53
2024-01-02,Butter 227G,41,48514.44
2024-01-02,Chocolate Wafers 85G,59,5920.6
2024-01-02,Coca-Cola 1.5L,57,17336.44
2024-01-02,Coconut,56,7308.7
2024-01-02,Coconut Oil 750ML,49,41882.56
2024-01-02,Coconut Sweets,59,11866.23
2024-01-02,Fresh Chicken 1KG,53,75358.55
2024-01-02,Fresh Milk 1L,52,20434.99
2024-01-02,Ice Cream 1L,55,41292.44
2024-01-02,Mango Jam 500G,55,35130.6
2024-01-02,Milo Powder 400G,42,41354.28
2024-01-02,Pineapple Whole,56,22465.86
2024-01-02,Plain Bread 450G,51,9207.35
2024-01-02,Plain Flour 1KG,42,16196.2
2024-01-02,Salt 1KG,53,5226.41
2024-01-02,Toilet Paper 2PLY,49,4844.11
2024-01-02,Tomatoes 1KG,59,23229.53
2024-01-02,White Rice 1KG,50,11147.87
2024-01-02,White Sugar 1KG,49,17445.65
2024-01-03,Bottled Water 5L,59,14976.49
2024-01-03,Butter 227G,42,50525.12
2024-01-03,Chocolate Wafers 85G,56,5537.37
2024-01-03,Coca-Cola 1.5L,40,12222.62
2024-01-03,Coconut,52,6722.01
2024-01-03,Coconut Oil 750ML,45,38504.9
2024-01-03,Coconut Sweets,49,9703.68
2024-01-03,Fresh Chicken 1KG,50,70123.01
2024-01-03,Fresh Milk 1L,51,20282.09
2024-01-03,Ice Cream 1L,46,34302.64
2024-01-03,Mango Jam 500G,53,34337.04
2024-01-03,Milo Powder 400G,41,40354.38
2024-01-03,Pineapple Whole,59,23974.93
2024-01-03,Plain Bread 450G,45,8140.96
2024-01-03,Plain Flour 1KG,48,18165.91
2024-01-03,Salt 1KG,59,5978.08
2024-01-03,Toilet Paper 2PLY,46,4512.74
2024-01-03,Tomatoes 1KG,48,19470.14
2024-01-03,White Rice 1KG,50,10926.48
2024-01-03,White Sugar 1KG,42,14624.42
2024-01-04,Bottled Water 5L,41,10361.2
2024-01-04,Butter 227G,45,54192.89
2024-01-04,Chocolate Wafers 85G,43,4225.29
2024-01-04,Coca-Cola 1.5L,50,14820.23
