ds,y
2024-01-01,191280.57
2024-01-02,182144.34
2024-01-03,139176.62
2024-01-04,154350.4
2024-01-05,162112.85
2024-01-06,181681.82
2024-01-07,183890.46
2024-01-08,158984.04
2024-01-09,179849.87
2024-01-10,185806.65
2024-01-11,137640.97
2024-01-12,186572.79
2024-01-13,152890.01
2024-01-14,194976.7
2024-01-15,209184.11
2024-01-16,144015.19
2024-01-17,181464.25
2024-01-18,211485.03
2024-01-19,189545.44
2024-01-20,184704.98
2024-01-21,152217.74
2024-01-22,165213.1
2024-01-23,154056.16
2024-01-24,151437.06
2024-01-25,167092.81
2024-01-26,178757.48
2024-01-27,143491.99
2024-01-28,220867.17
2024-01-29,184497.58
2024-01-30,156697.5
2024-01-31,141915.1
2024-02-01,182216.92
2024-02-02,146910.75
2024-02-03,171623.46
2024-02-04,176277.88
2024-02-05,129119.61
2024-02-06,195166.67
2024-02-07,159259.47
2024-02-08,194828.39
2024-02-09,165288.02
2024-02-10,160338.5
2024-02-11,167133.61
2024-02-12,172789.31
2024-02-13,162847.46
2024-02-14,203675.9
2024-02-15,161850.62
2024-02-16,155181.2
2024-02-17,177029.37
2024-02-18,160505.02
2024-02-19,162753.98
2024-02-20,157630.96
2024-02-21,205082.91
2024-02-22,153534.13
2024-02-23,148424.22
2024-02-24,198163.44
2024-02-25,149260.38
2024-02-26,139082.77
2024-02-27,176139.55
2024-02-28,152888.09
2024-02-29,147867.03
2024-03-01,192322.42
2024-03-02,146770.62
2024-03-03,180586.03
2024-03-04,169578.99
2024-03-05,163872.14
2024-03-06,166478.92
2024-03-07,191183.56
2024-03-08,154421.67
2024-03-09,150909.1
2024-03-10,123176.54
2024-03-11,183892.35
2024-03-12,188255.6
2024-03-13,159988.03
2024-03-14,183818.59
2024-03-15,187381.47
2024-03-16,168111.95
2024-03-17,189210.09
2024-03-18,202243.31
2024-03-19,167697.16
2024-03-20,168008.52
2024-03-21,183437.0
2024-03-22,178003.1
2024-03-23,119161.79
2024-03-24,183355.05
2024-03-25,152879.62
2024-03-26,191346.35
2024-03-27,207289.15
2024-03-28,168922.47
2024-03-29,167763.02
2024-03-30,167604.48
2024-03-31,204130.05
2024-04-01,209613.21
2024-04-02,262217.58
2024-04-03,187606.33
2024-04-04,145208.35
2024-04-05,200883.79
2024-04-06,136298.47
2024-04-07,158988.61000000002
2024-04-08,169648.14
2024-04-09,165375.34
2024-04-10,159122.8
2024-04-11,201536.93
2024-04-12,176943.8
2024-04-13,177718.64
2024-04-14,161157.5
2024-04-15,211434.83
2024-04-16,157572.77
2024-04-17,184355.7
2024-04-18,150036.93
2024-04-19,158461.58
2024-04-20,140008.29
2024-04-21,157008.78
2024-04-22,180730.32
2024-04-23,213932.73
2024-04-24,173259.43
2024-04-25,164377.51
2024-04-26,150717.48
2024-04-27,190262.2
2024-04-28,173542.21
2024-04-29,132687.63999999998
2024-04-30,179344.42
2024-05-01,169744.94
