ds,y
2024-01-01,152761.75
2024-01-02,174889.61000000002
2024-01-03,257244.19
2024-01-04,212126.48
2024-01-05,223190.69
2024-01-06,190055.54
2024-01-07,198487.80000000002
2024-01-08,188999.63999999998
2024-01-09,239324.81
2024-01-10,387651.1
2024-01-11,388943.32
2024-01-12,401620.25
2024-01-13,421972.04
2024-01-14,575983.78
2024-01-15,587377.29
2024-01-16,251082.55
2024-01-17,252087.8
2024-01-18,256242.98
2024-01-19,160317.82
2024-01-20,230267.35
2024-01-21,192996.54
2024-01-22,220913.5
2024-01-23,249018.66
2024-01-24,150372.05
2024-01-25,151617.57
2024-01-26,252126.99
2024-01-27,169380.18
2024-01-28,292406.69
2024-01-29,236040.35
2024-01-30,285561.54
2024-01-31,185299.85
2024-02-01,159368.47
2024-02-02,268931.51
2024-02-03,224473.6
2024-02-04,145579.94
2024-02-05,308979.79
2024-02-06,202973.0
2024-02-07,232795.75
2024-02-08,291992.16
2024-02-09,193792.4
2024-02-10,201344.08
2024-02-11,247647.76
2024-02-12,288465.99
2024-02-13,180826.26
2024-02-14,360043.76
2024-02-15,276498.76
2024-02-16,236302.98
2024-02-17,195351.44
2024-02-18,287712.64
2024-02-19,217800.14
2024-02-20,174575.7
2024-02-21,212724.58
2024-02-22,188655.87
2024-02-23,133726.04
2024-02-24,265027.07
2024-02-25,243954.18
2024-02-26,246043.39
2024-02-27,266168.61
2024-02-28,169586.55
2024-02-29,270819.85
2024-03-01,158986.23
2024-03-02,242182.04
2024-03-03,275393.86
2024-03-04,251455.99
2024-03-05,267984.25
2024-03-06,154309.66
2024-03-07,205213.91
2024-03-08,165689.94
2024-03-09,203968.41999999998
2024-03-10,206551.47
2024-03-11,233465.6
2024-03-12,241513.76
2024-03-13,275314.7
2024-03-14,282836.52
2024-03-15,194773.38
2024-03-16,156965.05
2024-03-17,235477.93
2024-03-18,289047.44
2024-03-19,297048.16
2024-03-20,270451.76
2024-03-21,213474.77
2024-03-22,310477.64
2024-03-23,204943.85
2024-03-24,93706.96
2024-03-25,271090.72
2024-03-26,238493.91
2024-03-27,219919.83000000002
2024-03-28,281333.55
2024-03-29,212436.44
2024-03-30,342187.81
2024-03-31,195392.69
2024-04-01,167135.15
2024-04-02,208031.73
2024-04-03,207427.51
2024-04-04,205298.15
2024-04-05,525049.1
2024-04-06,507602.15
2024-04-07,486495.19
2024-04-08,311609.83
2024-04-09,331502.74
2024-04-10,732034.2
2024-04-11,535842.68
2024-04-12,644364.59
2024-04-13,951098.98
2024-04-14,520043.98
2024-04-15,665599.27
2024-04-16,155752.13999999998
2024-04-17,260517.75
2024-04-18,235024.18
2024-04-19,267368.01
2024-04-20,245474.15
2024-04-21,210268.5
2024-04-22,243078.46
2024-04-23,133443.11000000002
2024-04-24,231054.58
2024-04-25,285622.85
2024-04-26,282741.01
2024-04-27,288677.33
2024-04-28,250626.22999999998
2024-04-29,252611.16
2024-04-30,214781.47
2024-05-01,220119.44
2024-05-02,256639.74
2024-05-03,244149.69
2024-05-04,153687.75
2024-05-05,247450.96
2024-05-06,285510.02
2024-05-07,198218.27
2024-05-08,258845.28
2024-05-09,200174.69
2024-05-10,200099.3
2024-05-11,172326.44
2024-05-12,373297.74
2024-05-13,222142.57
2024-05-14,292177.65
2024-05-15,286001.61
2024-05-16,168421.52
2024-05-17,297947.57
2024-05-18,214356.44
2024-05-19,233080.56
2024-05-20,176108.19
2024-05-21,260210.45
2024-05-22,179790.49
2024-05-23,87083.8
2024-05-24,141423.53
2024-05-25,136957.01
2024-05-26,308496.67
2024-05-27,206177.04
2024-05-28,278956.84
2024-05-29,215937.74
2024-05-30,205958.85
2024-05-31,188754.68
2024-06-01,231638.81
2024-06-02,261350.07
2024-06-03,197744.18
2024-06-04,228825.91999999998
2024-06-05,189043.66
2024-06-06,211494.65
2024-06-07,189053.79
2024-06-08,267731.91
2024-06-09,200929.5
2024-06-10,129816.88
2024-06-11,166258.64
2024-06-12,319615.43
2024-06-13,368990.66
2024-06-14,460951.44
2024-06-15,533062.17
2024-06-16,278897.24
2024-06-17,681623.02
2024-06-18,319264.69
2024-06-19,280019.37
2024-06-20,260183.45
2024-06-21,101800.89
2024-06-22,251821.77
2024-06-23,278723.69
2024-06-24,299633.09
2024-06-25,267599.85
2024-06-26,273020.4
2024-06-27,178234.82
2024-06-28,173963.76
2024-06-29,273489.31
2024-06-30,255041.94
2024-07-01,265210.29
2024-07-02,225200.59
2024-07-03,204178.55
2024-07-04,310566.0
2024-07-05,226979.13
2024-07-06,228692.99
2024-07-07,174566.25
2024-07-08,293361.96
2024-07-09,232859.9
2024-07-10,206435.75
2024-07-11,211345.92
2024-07-12,231512.52
2024-07-13,207096.2
2024-07-14,196169.19
2024-07-15,196972.05
2024-07-16,251701.06
2024-07-17,238031.6
2024-07-18,254398.39
2024-07-19,240435.06
2024-07-20,162689.63999999998
2024-07-21,303839.69
2024-07-22,208911.72
2024-07-23,191302.11000000002
2024-07-24,181224.84
2024-07-25,227964.57
2024-07-26,267543.52999999997
2024-07-27,126605.14
2024-07-28,288654.72000000003
2024-07-29,227279.64
2024-07-30,160591.68
2024-07-31,203825.06
2024-08-01,238706.62
2024-08-02,170876.29
2024-08-03,157382.03
2024-08-04,307001.47
2024-08-05,242513.86
2024-08-06,238829.5
2024-08-07,203544.47
2024-08-08,309290.44
2024-08-09,221555.33
2024-08-10,173642.2
