bill no,product name,no of units,full amount,date
50001,SIRILAK FENUGREEK 100G,2,299.45,2025-01-01
50002,RAIGAM FRIED & DEVILLED SOYA CHICKEN 110G,4,1005.52,2025-01-01
50003,LAKMO EGG PACK L 10,2,1115.29,2025-01-01
50004,EDINBOROUGH CORDIAL 750ML,1,458.3,2025-01-01
50005,SUNLIGHT 2 IN 1 CLEAN & JASMINE 1.2KG,5,2757.91,2025-01-01
50006,KEELLS CHICKEN SAUSAGES 500G,2,1908.05,2025-01-01
50007,VEG BIG ONIONS 1KG,3,1038.54,2025-01-01
50008,MAGGI COCONUT MILK POWDER 1KG,1,1494.63,2025-01-01
50009,KITHUL TREACLE BOTTLE 750ML,2,1802.29,2025-01-01
50010,VEG TOMATOES 1KG,2,805.0,2025-01-01
50011,WHITE SUGAR 1KG,2,696.12,2025-01-01
50012,DILMAH PREMIUM LEAF TEA 200G,2,1586.53,2025-01-01
50013,NESCAFE CLASSIC 100G JAR,5,6537.52,2025-01-01
50014,VEG POTATOES 1KG,2,773.0,2025-01-01
50015,SUNQUICK FRUIT JUICE 840ML,2,1504.92,2025-01-01
50016,VEG BIG ONIONS 1KG,1,346.3,2025-01-01
50017,VEG GREEN BEANS 1KG,1,300.15,2025-01-01
50018,VEG CABBAGE 1KG,1,180.19,2025-01-01
50019,FRT PINEAPPLE,1,406.97,2025-01-01
50020,FRESH WHOLE CHICKEN SL 1KG,2,2769.84,2025-01-01
50021,FRESH WHOLE CHICKEN SL 1KG,2,2833.54,2025-01-01
50022,KOTMALE CHEESE SLICES 10S,4,2953.93,2025-01-01
50023,LAKMEE SOY CUTTLEFISH 60G,4,705.96,2025-01-01
50024,MD MANGO JAM 500G,3,1975.66,2025-01-01
50025,VEG LADIES FINGERS 1KG,3,589.36,2025-01-01
50026,FRT PINEAPPLE,3,1206.88,2025-01-01
50027,TURMERIC POWDER 100G,1,356.82,2025-01-01
50028,NESCAFE CLASSIC 100G JAR,4,5132.43,2025-01-01
